Purchase ID,Purchase Date,Item Purchased,Category,Purchase Amount (USD),Size,Color,Season,Shipping Type,Discount Applied,Promo Code Used,Payment Method
0a533c04-a776-43ee-a9ca-fa88cb8efc4b,2023-06-12 11:02:54.882140399+00:00,Blouse,Clothing,53,L,Gray,Winter,Express,Yes,Yes,Venmo
887289a8-cc7a-482e-9125-c4ff12383a4f,2023-04-08 18:09:15.849264337+00:00,Sweater,Clothing,64,L,Maroon,Winter,Express,Yes,Yes,Cash
2ecd0c42-9f49-4e55-8826-a77cc88ae94e,2023-02-19 21:02:14.228772360+00:00,Jeans,Clothing,73,S,Maroon,Spring,Free Shipping,Yes,Yes,Credit Card
e14db72b-d350-4863-8f44-5ffad0101964,2023-10-23 22:45:04.647661406+00:00,Sandals,Footwear,90,M,Maroon,Spring,Next Day Air,Yes,Yes,PayPal
ad195289-8cd5-4913-bfdc-d16d5c916a69,2023-11-12 13:46:43.413315841+00:00,Blouse,Clothing,49,M,Turquoise,Spring,Free Shipping,Yes,Yes,PayPal
3debe19a-84d2-40bb-a1f2-318be9c2fd7c,2023-09-23 16:57:02.511435398+00:00,Sneakers,Footwear,20,M,White,Summer,Standard,Yes,Yes,Venmo
bd135c18-d544-4a96-a780-8c5427f136f0,2023-11-16 10:37:09.210512392+00:00,Shirt,Clothing,85,M,Gray,Fall,Free Shipping,Yes,Yes,Cash
e26129fc-343d-426b-b065-ab4780b9268e,2023-06-21 09:09:00.183639988+00:00,Shorts,Clothing,34,L,Charcoal,Winter,Free Shipping,Yes,Yes,Credit Card
093c0b66-7718-4558-be3f-25cee007e4e1,2023-02-08 04:05:08.550299779+00:00,Coat,Outerwear,97,L,Silver,Summer,Express,Yes,Yes,Venmo
b78d93f0-275a-4475-9dc5-6491f515fb5b,2023-02-14 10:04:38.909780679+00:00,Handbag,Accessories,31,M,Pink,Spring,2-Day Shipping,Yes,Yes,Cash
ef772e11-89da-4a4d-ba62-fa959732a4c5,2023-09-01 17:52:00.814449392+00:00,Shoes,Footwear,34,L,Purple,Fall,Store Pickup,Yes,Yes,Bank Transfer
9611f8fb-aaba-4c7d-acc4-c0636875fe04,2023-04-07 07:52:00.355788725+00:00,Shorts,Clothing,68,S,Olive,Winter,Store Pickup,Yes,Yes,Bank Transfer
61164ede-0628-45af-872d-de817f7a6eb7,2023-03-15 12:45:07.551762781+00:00,Coat,Outerwear,72,M,Gold,Winter,Express,Yes,Yes,Venmo
2b4c609b-4a2d-42a7-93a4-84eb7dfc3b5a,2023-08-28 04:40:01.132887845+00:00,Dress,Clothing,51,M,Violet,Spring,Express,Yes,Yes,PayPal
a31fde72-49f4-4118-9bc7-1dc3ff8c5106,2023-07-30 08:51:11.181791550+00:00,Coat,Outerwear,53,L,Teal,Winter,Free Shipping,Yes,Yes,Debit Card
b5d4a9dd-deae-4e65-bc5d-1d8c013f82a5,2023-01-16 22:04:45.242611420+00:00,Skirt,Clothing,81,M,Teal,Winter,Store Pickup,Yes,Yes,PayPal
3090923d-cd9a-4319-adb5-54211d7b2ba2,2023-12-28 08:14:40.919737297+00:00,Sunglasses,Accessories,36,S,Gray,Spring,Next Day Air,Yes,Yes,Debit Card
8587f479-f87c-4ff8-b6c5-0cede9c8706e,2023-06-05 21:48:22.703484980+00:00,Dress,Clothing,38,XL,Lavender,Winter,2-Day Shipping,Yes,Yes,Venmo
f0774647-b69f-471a-aadb-faa632e6e248,2023-12-23 00:42:39.587908807+00:00,Sweater,Clothing,48,S,Black,Summer,Free Shipping,Yes,Yes,Cash
3edd7054-3965-4af2-ba1e-b0b6b3430f1d,2023-11-10 17:02:30.496591797+00:00,Pants,Clothing,90,M,Green,Summer,Standard,Yes,Yes,Debit Card
e1bd953f-dd34-456e-ab99-a6a2bf80c0a6,2023-04-11 13:12:15.567046905+00:00,Pants,Clothing,51,M,Black,Winter,Express,Yes,Yes,Cash
d9b90738-96be-43ca-9419-4327bf9b6c5d,2023-04-10 23:07:59.763169626+00:00,Pants,Clothing,62,M,Charcoal,Winter,Store Pickup,Yes,Yes,Debit Card
384432fa-9bc0-4f95-bb48-d79475a90ba7,2023-04-22 02:54:00.951514991+00:00,Pants,Clothing,37,M,Peach,Summer,Store Pickup,Yes,Yes,Debit Card
bb6c4956-8c26-4a73-b114-cbe0a1be03d3,2023-02-10 08:15:04.091926241+00:00,Pants,Clothing,88,XL,White,Winter,Express,Yes,Yes,Credit Card
16594542-b5b5-4cf2-a3ba-7eba4ef9f408,2023-09-03 02:29:28.121451503+00:00,Jacket,Outerwear,22,M,Green,Fall,Store Pickup,Yes,Yes,Debit Card
37a56032-85e7-49ef-9c64-bc3fb3501103,2023-12-12 17:02:22.356340984+00:00,Hoodie,Clothing,25,M,Silver,Summer,Express,Yes,Yes,PayPal
c6db2c0e-c46c-4c63-a49c-d60caf3bac30,2023-06-14 02:34:45.334174887+00:00,Jewelry,Accessories,20,M,Red,Spring,Next Day Air,Yes,Yes,Credit Card
bb502200-eaee-4c66-9038-334a1afbcd65,2023-10-14 20:15:58.613502306+00:00,Shorts,Clothing,56,L,Cyan,Summer,Next Day Air,Yes,Yes,Bank Transfer
6b74355d-b85f-4a3f-b0dd-1e3f8e26c7b6,2023-01-27 18:26:44.539287365+00:00,Handbag,Accessories,94,M,Gray,Fall,Free Shipping,Yes,Yes,PayPal
e2b613ea-73cd-4dd5-8cb5-e0c5fe8e3546,2023-09-05 19:33:29.520645076+00:00,Dress,Clothing,48,S,Black,Fall,Store Pickup,Yes,Yes,Credit Card
84b6002d-b5c5-4bf7-a225-a19238ae2c36,2023-12-14 09:57:48.184059455+00:00,Jewelry,Accessories,31,L,Black,Winter,Standard,Yes,Yes,Credit Card
62b36630-8ab0-4d55-aa8c-0cc40793fb51,2023-07-13 02:51:33.234998096+00:00,Dress,Clothing,79,L,Brown,Winter,Store Pickup,Yes,Yes,Venmo
0b363d7c-25ca-4334-8662-08e26b3e9cf0,2023-04-20 02:11:58.054626511+00:00,Jacket,Outerwear,67,M,Silver,Summer,Free Shipping,Yes,Yes,Venmo
6c63eccb-af1a-46f4-9f17-6e9ad5ef0878,2023-08-05 13:51:31.095385194+00:00,Pants,Clothing,38,L,Green,Summer,Store Pickup,Yes,Yes,Cash
107f729f-02ac-47f0-a55b-a5afa51d18cb,2023-03-07 02:49:53.288647839+00:00,T-shirt,Clothing,91,L,Violet,Spring,2-Day Shipping,Yes,Yes,PayPal
4d4a5836-58ff-43dd-af53-4f5518cfaa5e,2023-06-20 23:29:03.797143+00:00,Blouse,Clothing,33,M,Cyan,Summer,2-Day Shipping,Yes,Yes,Credit Card
44c9d917-9af0-47fc-b202-a1ef0ffcb08f,2023-12-19 11:16:58.263887692+00:00,T-shirt,Clothing,69,M,Maroon,Winter,Free Shipping,Yes,Yes,PayPal
d2a69f78-4bb0-490f-ba16-e1f650438b50,2023-01-26 22:05:46.374606142+00:00,Jeans,Clothing,45,S,Cyan,Summer,Store Pickup,Yes,Yes,PayPal
8311308d-2ca4-47fb-afb5-46f40f0d6170,2023-09-09 16:52:34.776473050+00:00,Dress,Clothing,37,M,Red,Winter,2-Day Shipping,Yes,Yes,Venmo
56627e68-58fe-4784-bb3a-03edbab862bd,2023-06-14 10:53:12.336197900+00:00,Pants,Clothing,60,S,Turquoise,Summer,Express,Yes,Yes,Credit Card
77663324-1a3a-4647-8de8-fe7c74624fda,2023-05-15 12:13:31.244138869+00:00,Handbag,Accessories,76,L,Beige,Winter,Next Day Air,Yes,Yes,Debit Card
24b98550-6c29-42f0-8010-3a4f7ed967e3,2023-06-05 21:53:52.614390233+00:00,Scarf,Accessories,39,M,Orange,Spring,Standard,Yes,Yes,Venmo
7d0c64b2-905e-4995-b57a-6f2cdc3f32f5,2023-02-03 17:58:36.619173547+00:00,Coat,Outerwear,100,M,Beige,Spring,Free Shipping,Yes,Yes,PayPal
e4b50ff9-e5f8-420d-9a8d-31fcae695586,2023-03-31 08:58:40.288858524+00:00,Scarf,Accessories,69,L,Lavender,Fall,Store Pickup,Yes,Yes,PayPal
6c448431-a1a4-45a2-b10c-0cb5aa22b4c3,2023-10-05 12:56:09.719217419+00:00,Hat,Accessories,53,S,Silver,Summer,Free Shipping,Yes,Yes,PayPal
9a272f9a-52d8-45e5-bbac-c45064777ad2,2023-07-21 13:27:09.528747803+00:00,Socks,Clothing,21,XL,Indigo,Fall,2-Day Shipping,Yes,Yes,PayPal
3eec0aec-94c9-4d54-81f6-6d6885ccd0c4,2023-06-07 14:06:21.944322006+00:00,Shirt,Clothing,43,L,White,Summer,Store Pickup,Yes,Yes,Cash
892c04a7-9e30-4152-93cf-50b08eb2e453,2023-05-24 17:50:56.146466106+00:00,Jewelry,Accessories,54,M,Charcoal,Winter,Free Shipping,Yes,Yes,Cash
fea5d77b-b908-4e04-a8fe-6bb0d9330eba,2023-05-13 08:37:18.605286879+00:00,Shirt,Clothing,55,M,Orange,Summer,Store Pickup,Yes,Yes,Cash
a92695df-c817-4a28-bf6b-17c02bd2f7bd,2023-10-20 11:02:28.740252172+00:00,Hoodie,Clothing,30,S,Indigo,Spring,Next Day Air,Yes,Yes,Debit Card
d119ebb5-bda6-4d1f-8ca7-cc3482172760,2023-09-26 16:58:24.544281099+00:00,Blouse,Clothing,28,M,Red,Spring,Store Pickup,Yes,Yes,Debit Card
a0696377-0595-4b6b-9f04-2f8c05e3676b,2023-08-13 06:08:40.695245448+00:00,Skirt,Clothing,59,XL,Gray,Winter,2-Day Shipping,Yes,Yes,Credit Card
028e357d-10f2-4794-9781-5f9a4e91a187,2023-06-23 09:46:51.203874320+00:00,T-shirt,Clothing,20,M,Green,Summer,Free Shipping,Yes,Yes,Credit Card
b5c43a22-9f02-49e1-817a-611da9613702,2023-10-20 04:13:06.542817115+00:00,Skirt,Clothing,24,S,Peach,Winter,Next Day Air,Yes,Yes,Credit Card
d05db3b7-e10c-4edf-9d86-7afe97c8dc76,2023-01-27 10:15:52.214781206+00:00,Coat,Outerwear,94,M,Brown,Summer,Next Day Air,Yes,Yes,Debit Card
2e4cfa80-1d06-4ac4-8596-dc4f5a09feac,2023-08-17 12:49:36.874984638+00:00,Jacket,Outerwear,28,M,Lavender,Winter,2-Day Shipping,Yes,Yes,Credit Card
a2e18847-551b-4b16-ab0d-f56ecb409aca,2023-07-09 09:07:06.457181788+00:00,Backpack,Accessories,73,XL,Brown,Summer,Store Pickup,Yes,Yes,Credit Card
7ed12234-c4c1-49f9-a0d9-88086dcbef3d,2023-12-13 00:23:39.745193396+00:00,Coat,Outerwear,64,M,White,Summer,Store Pickup,Yes,Yes,Debit Card
fbfecf3c-f52b-46d9-858c-bb80f9aeac35,2023-02-22 01:02:52.548257030+00:00,Hoodie,Clothing,54,M,Charcoal,Summer,Free Shipping,Yes,Yes,Venmo
a50ac003-55ac-4dc5-9749-a28b7e9c6afb,2023-08-03 20:09:04.234196414+00:00,Belt,Accessories,79,L,Yellow,Spring,Standard,Yes,Yes,Debit Card
ce5d2a1b-474d-40bc-9fb2-2394e38ac55b,2023-08-23 00:49:18.583258019+00:00,Sweater,Clothing,37,L,Brown,Summer,Express,Yes,Yes,Cash
1cd2b96c-7e5c-4eb2-9cd9-37113220875c,2023-07-13 09:19:58.444672991+00:00,Scarf,Accessories,68,M,Orange,Winter,Store Pickup,Yes,Yes,Credit Card
fe5322ec-be22-41b1-a80d-8144e0338b54,2023-10-26 11:22:23.253643085+00:00,Sneakers,Footwear,21,S,Magenta,Spring,Free Shipping,Yes,Yes,Credit Card
8bdc3342-223d-4b76-90af-f3e34423c240,2023-09-17 12:37:58.594263711+00:00,Sunglasses,Accessories,79,L,Lavender,Winter,2-Day Shipping,Yes,Yes,Credit Card
83081de8-3c22-40b6-8445-1f1d279b0250,2023-04-29 04:26:29.071881327+00:00,Boots,Footwear,83,S,Green,Fall,Standard,Yes,Yes,Debit Card
4ac8c751-9e8f-4cd8-be13-35093cb3764e,2023-02-03 23:26:15.226520597+00:00,Backpack,Accessories,36,M,Purple,Spring,2-Day Shipping,Yes,Yes,Venmo
0fc7f5a8-3042-4850-8654-ee2793a65c71,2023-11-09 21:03:38.536335242+00:00,Blouse,Clothing,94,S,Magenta,Winter,2-Day Shipping,Yes,Yes,Venmo
8feb23c1-099a-4ca5-90d5-e9e64411d999,2023-08-09 12:58:12.703322013+00:00,Coat,Outerwear,33,L,Gray,Winter,Store Pickup,Yes,Yes,Debit Card
9ec5e77e-8d7a-4936-ae78-246fa8923ace,2023-05-06 15:05:20.874895157+00:00,Handbag,Accessories,46,L,Silver,Summer,Next Day Air,Yes,Yes,Cash
85ea77bc-8e0c-42f3-a8c5-4334bafd33cb,2023-02-16 03:10:34.922627002+00:00,Belt,Accessories,70,S,Cyan,Summer,Express,Yes,Yes,Cash
fc0c238e-37fe-40e0-9d4f-ef0f9249af5e,2023-11-04 09:13:04.420956797+00:00,Belt,Accessories,29,M,Magenta,Fall,Express,Yes,Yes,Debit Card
ecde4305-c029-41c1-98ba-f87a59d59a3a,2023-10-09 02:53:27.416691747+00:00,Dress,Clothing,48,L,Gold,Summer,Express,Yes,Yes,Bank Transfer
8527ac7e-7564-4feb-bda8-05d8439c385b,2023-05-29 12:02:05.388159903+00:00,Dress,Clothing,26,M,Olive,Winter,Store Pickup,Yes,Yes,Bank Transfer
2e6955d3-4855-48d3-981a-4aefdc270ab5,2023-03-29 20:34:04.853884672+00:00,Pants,Clothing,85,M,Teal,Spring,Free Shipping,Yes,Yes,Bank Transfer
af3d2ca7-a2f1-4957-8ea9-9c4cb3d5129e,2023-02-03 03:48:36.777565677+00:00,Gloves,Accessories,58,L,Violet,Spring,Express,Yes,Yes,Cash
3ce905ba-fee8-4d4b-aef4-5e61464703ed,2023-12-11 18:21:27.254713529+00:00,Scarf,Accessories,85,M,Blue,Summer,Free Shipping,Yes,Yes,Credit Card
f8ff4c7c-227b-4aad-b5c5-abc8805e7956,2023-09-29 04:55:07.864138272+00:00,Hat,Accessories,43,S,Teal,Summer,Free Shipping,Yes,Yes,Venmo
c28de05b-b5ab-4b58-92cd-49bfd8e8ab03,2023-11-16 08:55:37.334020817+00:00,Dress,Clothing,53,L,Gold,Summer,Next Day Air,Yes,Yes,Debit Card
db1a70ff-47e0-400d-bbbc-cc0c756cdcb8,2023-03-25 23:20:08.243053669+00:00,Skirt,Clothing,91,M,Maroon,Spring,Free Shipping,Yes,Yes,Venmo
0bdbca7a-3aa2-4385-9b07-9d3003cffbf6,2023-01-17 18:34:12.892444989+00:00,Jacket,Outerwear,96,M,Olive,Winter,2-Day Shipping,Yes,Yes,Bank Transfer
3f79c8db-7bf9-484f-bc7a-a726eddf073c,2023-09-24 13:57:20.001806666+00:00,Sandals,Footwear,72,XL,Blue,Summer,Store Pickup,Yes,Yes,Credit Card
1196f394-bca4-4c4e-91d9-904750ba6651,2023-01-16 11:46:00.405998749+00:00,Shoes,Footwear,96,L,Maroon,Summer,Express,Yes,Yes,Credit Card
e3c49837-3891-4ae1-b917-6ee4d1c541d7,2023-05-10 03:30:15.490799963+00:00,Pants,Clothing,28,S,Olive,Spring,2-Day Shipping,Yes,Yes,Credit Card
e0d20d2b-d43b-42ea-9244-cac2642255bb,2023-07-21 17:24:54.036579260+00:00,Dress,Clothing,40,M,Turquoise,Summer,Standard,Yes,Yes,Bank Transfer
3af5de3e-23fb-4cc9-8b80-db9df4d39d11,2023-04-02 03:08:01.281587997+00:00,Coat,Outerwear,32,S,Peach,Spring,Standard,Yes,Yes,Bank Transfer
236902df-d659-495b-baf7-c45ac439eee3,2023-12-29 20:14:03.018511078+00:00,Sunglasses,Accessories,95,M,Charcoal,Winter,Next Day Air,Yes,Yes,Debit Card
d8068a74-66e4-444a-b67e-acf09468b4b5,2023-08-30 15:23:31.819606901+00:00,Hoodie,Clothing,41,L,Pink,Spring,2-Day Shipping,Yes,Yes,Cash
7500b509-eaa1-4959-8dfe-6ace97906d77,2023-03-14 00:24:37.807557835+00:00,Shoes,Footwear,53,M,Green,Fall,2-Day Shipping,Yes,Yes,Debit Card
